dL_thr,reduction_pars_coll,dL_cov,thr_fib_0,thr_fib_1,thr_fib_2
0.0,1.0,0.0,0.0,0.0,0.0
0.0100000007,0.8190526538380207,0.00995553123539139,0.0,0.6000000238418579,0.5
0.0200000014,0.6982048057339373,0.019984042908163246,0.0,0.7000000476837158,0.25
0.0300000012,0.6312840146464702,0.029800784869820518,0.45000001788139343,0.75,0.20000000298023224
0.0400000028,0.5682062525737054,0.039251751459232764,0.550000011920929,0.7000000476837158,0.25
0.0500000045,0.5153854715028213,0.048060783761684434,0.6000000238418579,0.6499999761581421,0.30000001192092896
0.0600000024,0.4430724198951598,0.05948883415203454,0.6499999761581421,0.6000000238418579,0.20000000298023224
0.0700000077,0.3875505002726736,0.06906859824266576,0.6499999761581421,0.6499999761581421,0.30000001192092896
0.0800000057,0.34197170871776605,0.07870256470141612,0.6499999761581421,0.75,0.15000000596046448
0.0900000036,0.3019788316212396,0.08872240923119534,0.7000000476837158,0.6000000238418579,0.30000001192092896
0.1000000089,0.2522476099319985,0.09996679386676988,0.7000000476837158,0.75,0.0
0.1100000069,0.23088557723341976,0.10823655097101437,0.7000000476837158,0.800000011920929,0.15000000596046448
0.1200000048,0.19219930774281865,0.11885477230566721,0.75,0.6499999761581421,0.10000000149011612
0.1300000101,0.16153298238194344,0.12977789997785294,0.75,0.75,0.10000000149011612
0.1400000155,0.14833112597522566,0.13810437956772148,0.800000011920929,0.6000000238418579,0.15000000596046448
0.150000006,0.13015436667371538,0.14885246163976262,0.800000011920929,0.6499999761581421,0.25
0.1599999964,0.11531424246808605,0.15820814941434946,0.800000011920929,0.8500000238418579,0.10000000149011612
0.1700000018,0.09828605135168222,0.16903602043566934,0.8500000238418579,0.6000000238418579,0.15000000596046448
0.1800000072,0.08493505915348744,0.17856850798852975,0.8500000238418579,0.5,0.5
0.1899999976,0.07347163637577768,0.18984685062605422,0.8500000238418579,0.5,0.6499999761581421
0.200000003,0.0651968258561396,0.19872607194338343,0.8999999761581421,0.30000001192092896,0.7000000476837158
0.2100000083,0.0554440128657444,0.20958735828025965,0.8999999761581421,0.3499999940395355,0.7000000476837158
0.2199999988,0.04835227209491269,0.21816033656068612,0.8999999761581421,0.45000001788139343,0.6499999761581421
0.2300000042,0.037377435977340265,0.22759735713043483,0.949999988079071,0.10000000149011612,0.949999988079071
0.2400000095,0.030849962716052132,0.23932525577401975,0.949999988079071,0.25,0.75
0.25,0.025524479415921914,0.24766902156261494,0.949999988079071,0.3499999940395355,0.800000011920929
0.2600000203,0.021091584957318228,0.2530407725425903,1.0,0.0,1.0
0.2700000107,0.015170671444947747,0.2660948805641965,1.0,0.05000000074505806,0.949999988079071
0.2800000012,0.011622575152196415,0.27971389142476255,1.0,0.10000000149011612,0.949999988079071
0.2900000215,0.009361053299351147,0.2881067033158615,1.0,0.15000000596046448,1.0
0.3000000119,0.008212485114244694,0.2997068193653831,1.0,0.20000000298023224,1.0
